"","X","Species","decimalLatitude","decimalLongitude","year","month","basisOfRecord","iucnRedListCategory","year_char","elevation","decimalLongitude.1","decimalLatitude.1","optional"
"1",1,"Elk",39.241249,-106.895911,2021,"Jan","HUMAN_OBSERVATION","LC","2021",2388,-106.895911,39.241249,TRUE
"2",2,"Elk",37.257995,-107.107532,2021,"Jan","HUMAN_OBSERVATION","LC","2021",2274,-107.107532,37.257995,TRUE
"3",3,"Elk",37.939034,-107.811827,2021,"Jan","HUMAN_OBSERVATION","LC","2021",2702,-107.811827,37.939034,TRUE
"4",4,"Elk",39.729559,-105.215127,2021,"Feb","HUMAN_OBSERVATION","LC","2021",1832,-105.215127,39.729559,TRUE
"5",5,"Elk",40.385768,-105.606388,2021,"Feb","HUMAN_OBSERVATION","LC","2021",2706,-105.606388,40.385768,TRUE
"6",6,"Elk",39.524588,-105.093605,2021,"Feb","HUMAN_OBSERVATION","LC","2021",1708,-105.093605,39.524588,TRUE
"7",7,"Elk",39.464772,-105.090089,2021,"Feb","HUMAN_OBSERVATION","LC","2021",1831,-105.090089,39.464772,TRUE
"8",8,"Elk",39.524505,-105.093636,2021,"Feb","HUMAN_OBSERVATION","LC","2021",1708,-105.093636,39.524505,TRUE
"9",9,"Elk",40.407882,-105.158058,2021,"Feb","HUMAN_OBSERVATION","LC","2021",1546,-105.158058,40.407882,TRUE
"10",10,"Elk",37.253694,-107.144902,2021,"Feb","HUMAN_OBSERVATION","LC","2021",2258,-107.144902,37.253694,TRUE
"11",11,"Elk",39.955412,-105.353094,2021,"Feb","HUMAN_OBSERVATION","LC","2021",2269,-105.353094,39.955412,TRUE
"12",12,"Elk",39.52615,-105.08898,2021,"Feb","HUMAN_OBSERVATION","LC","2021",1664,-105.08898,39.52615,TRUE
"13",13,"Elk",40.411342,-105.162903,2021,"Mar","HUMAN_OBSERVATION","LC","2021",1552,-105.162903,40.411342,TRUE
"14",14,"Elk",37.379059,-107.102772,2021,"Mar","HUMAN_OBSERVATION","LC","2021",2577,-107.102772,37.379059,TRUE
"15",15,"Elk",39.793527,-105.324166,2021,"Mar","HUMAN_OBSERVATION","LC","2021",2401,-105.324166,39.793527,TRUE
"16",16,"Elk",40.399197,-105.626647,2021,"Mar","HUMAN_OBSERVATION","LC","2021",2724,-105.626647,40.399197,TRUE
"17",17,"Elk",38.513351,-107.72226,2021,"Mar","HUMAN_OBSERVATION","LC","2021",2255,-107.72226,38.513351,TRUE
"18",18,"Elk",40.367512,-105.480338,2021,"Mar","HUMAN_OBSERVATION","LC","2021",2304,-105.480338,40.367512,TRUE
"19",19,"Elk",40.382013,-105.496247,2021,"Mar","HUMAN_OBSERVATION","LC","2021",2296,-105.496247,40.382013,TRUE
"20",20,"Elk",37.000339,-104.432897,2020,"Jan","HUMAN_OBSERVATION","LC","2020",2581,-104.432897,37.000339,TRUE
"21",21,"Elk",37.347337,-107.123526,2020,"Jan","HUMAN_OBSERVATION","LC","2020",2454,-107.123526,37.347337,TRUE
"22",22,"Elk",40.138074,-105.247971,2020,"Jan","HUMAN_OBSERVATION","LC","2020",1695,-105.247971,40.138074,TRUE
"23",23,"Elk",40.377809,-105.512026,2020,"Jan","HUMAN_OBSERVATION","LC","2020",2304,-105.512026,40.377809,TRUE
"24",24,"Elk",39.206292,-105.994188,2020,"Jan","HUMAN_OBSERVATION","LC","2020",3008,-105.994188,39.206292,TRUE
"25",25,"Elk",39.90879,-105.216607,2020,"Jan","HUMAN_OBSERVATION","LC","2020",1814,-105.216607,39.90879,TRUE
"26",26,"Elk",37.368436,-107.179597,2020,"Jan","HUMAN_OBSERVATION","LC","2020",2459,-107.179597,37.368436,TRUE
"27",27,"Elk",40.243885,-105.16328,2020,"Jan","HUMAN_OBSERVATION","LC","2020",1591,-105.16328,40.243885,TRUE
"28",28,"Elk",37.281759,-107.143632,2020,"Feb","HUMAN_OBSERVATION","LC","2020",2433,-107.143632,37.281759,TRUE
"29",29,"Elk",40.645942,-107.310722,2020,"Feb","HUMAN_OBSERVATION","LC","2020",2086,-107.310722,40.645942,TRUE
"30",30,"Elk",39.730836,-105.209308,2020,"Feb","HUMAN_OBSERVATION","LC","2020",1832,-105.209308,39.730836,TRUE
"31",31,"Elk",40.403228,-105.617686,2020,"Feb","HUMAN_OBSERVATION","LC","2020",2627,-105.617686,40.403228,TRUE
"32",32,"Elk",37.241584,-107.183072,2020,"Feb","HUMAN_OBSERVATION","LC","2020",2108,-107.183072,37.241584,TRUE
"33",33,"Elk",40.081671,-105.905053,2020,"Feb","HUMAN_OBSERVATION","LC","2020",2467,-105.905053,40.081671,TRUE
"34",34,"Elk",40.389642,-105.56153,2020,"Feb","HUMAN_OBSERVATION","LC","2020",2432,-105.56153,40.389642,TRUE
"35",35,"Elk",37.249944,-107.141184,2020,"Mar","HUMAN_OBSERVATION","LC","2020",2222,-107.141184,37.249944,TRUE
"36",36,"Elk",39.457475,-108.778405,2020,"Mar","HUMAN_OBSERVATION","LC","2020",1722,-108.778405,39.457475,TRUE
"37",37,"Elk",40.03142,-106.3831,2020,"Mar","HUMAN_OBSERVATION","LC","2020",2255,-106.3831,40.03142,TRUE
"38",38,"Elk",38.929,-107.420783,2020,"Mar","HUMAN_OBSERVATION","LC","2020",1951,-107.420783,38.929,TRUE
